"Country","Issuer","Currency","Face value","Title","Type","Year range","Shape","Composition","Weight","Diameter","Year","Gregorian year","Mintmark","Quantity","Grade","Collection","From set","Estimate (INR)"
"Abkhazia","Abkhazia","Apsar","10","10 Apsars","Circulating commemorative banknotes","2024","Rectangular","Paper (Cotton Paper)","","150","2024","2024","","1","UNC","","","456.82"
"Afghanistan","Afghanistan","First Afghani (1923-2003)","5","5 Afghanis","Standard circulation coins","1973","Round","Nickel clad steel (90% Steel, 10% Nickel)","7.1","27.5","1352","1973","","1","VF","","","126.59"
"Afghanistan","Afghanistan","First Afghani (1923-2003)","100","100 Afghanis","Standard circulation banknotes","1979-1991","Rectangular","Paper","","142","1369","1990","","1","UNC","","","99.07"
"Algeria","Algeria","Dinar (1964-date)","0.5","50 Centimes (Hijra)","Circulating commemorative coins","1980","Round","Aluminium bronze","5","24","1400","1980","","1","VF","","","71.55"
"Angola","Angola","Kwanza (1977-1990)","0.5","50 Lwei","Standard circulation coins","1977-1979","Round","Copper-nickel","2","16","1979","1979","","1","F","","","42.93"
"Angola","Angola","Second Kwanza (1999-date)","10","10 Kwanzas","Standard circulation banknotes","2012","Rectangular","Paper","","145","2012","2012","","1","UNC","","","103.47"
"Antarctica","Antarctica","Dollar","1","1 Dollar (Emperor penguins; M/S Explorer)","Fantasy banknotes","2007","Rectangular","Polymer","","160","2007","2007","","1","","","",""
"Argentina","Argentina","Peso ley (1970-1983)","100","100 Pesos (magnetic)","Standard circulation coins","1980-1981","Round","Brass clad steel","7.9","27.2","1981","1981","BAˢ","1","VF","","","61.15"
"Australia","Australia","Dollar (1966-date)","0.01","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coins","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1973","1973","","1","VF","","","22.02"
"Australia","Australia","Dollar (1966-date)","0.01","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coins","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1976","1976","","1","VF","","","19.81"
"Australia","Australia","Dollar (1966-date)","0.01","1 Cent - Elizabeth II (2nd Portrait)","Standard circulation coins","1966-1984","Round","Bronze (97% Copper, 2.5% Zinc, 0.5% Tin)","2.59","17.53","1978","1978","","1","VF","","","18.71"
